Nom de la gare;Total Voyageurs 2022
La Bourboule;12072
La Cave;1
La Chaussée-Saint-Victor;1511
La Courneuve - Aubervilliers;11989659
La Crèche;24541
La Croix de Méan;5910
La Douzillère;9903
La Ferté-Milon;133587
La Fouillouse;13394
La Grande-Paroisse;54790
La Guierche;17497
La Hume;159229
La Jarrie;27766
La Joux;494
La Loupe;550406
La Madeleine;18027
La Porcherie;4510
La Rivière de Mansac;4610
La Roche-sur-Yon;1107111
La Tour-du-Pin;938021
La Ville-Dieu-du-Temple;23006
La Wantzenau;36686
Labarthe-Inard;0
Labège Village;8650
Labergement-Sainte-Marie;11097
Labouheyre;100803
Laguépie;10284
Lalinde;31670
Lamagistère;22403
Lamotte-Beuvron;253528
Lancey;192991
Landrecies;11225
Landry;43236
Langres;74633
Lardy;351191
Lathus-Saint-Rémy;1013
Latour-de-Carol - Enveitg;76304
Laveline-devant-Bruyères;4885
Le Bousquet-d'Orb;2364
Le Cateau-Cambrésis;32155
Le Creusot;156503
Le Creusot - Montceau-les-Mines - Montchanin TGV;653544
Le Croisic;139448
Le Fauga;73986
Le Grand-Lemps;136252
Le Méridien La Ferrière;136655
Le Merlerault;6
Le Perray-en-Yvelines;591206
Le Val d'Or;1848826
Le Vert de Maisons;2529584
Lépin-le-Lac - La Bauche;78670
Les Bossons;5988
Les Grésillons;2274636
Les Houches;22571
Les Moussoux;2054
Les Noues;1205683
Les Quatre Roues;2428
Les Tines;3703
Les Trillers;760
Les Vallées;5077252
L'Hermitage - Mordelles;55145
L'Hôpital-du-Grosbois;20109
Liancourt - Rantigny;261503
Libourne;1690650
Liévin;38216
Lille Europe;6056899
Lille Flandres;21992946
Lillers;173657
Limersheim;92018
Lison;222846
Logelbach;34475
Longages - Noé;126046
Longecourt-en-Plaine;3284
Longueil-Annel;23579
Longuerue - Vieux-Manoir;11774
Longueville;680603
Lorient Bretagne Sud;1766624
Louhossoa;0
Lourdes;453955
Louveciennes;977571
Luc-en-Diois;9479
Luchon;42692
Lunas;582
Lus-la-Croix-Haute;552
Lyon Part Dieu;36558465
Mâcon;1375848
Magny - Blandainville;14061
Maintenon;1352209
Maisons-Laffitte;7964985
Mandelieu-la-Napoule;131714
Mareil-sur-Mauldre;70521
Margaux;47532
Marignac - Saint-Béat;2436
Marmagne;8259
Marne-la-Vallée Chessy;4641120
Marseille Saint-Charles;16906447
Marseille-en-Beauvaisis;56797
Martigny-les-Bains;11538
Masseret;8126
Meaux;7838001
Mennecy;797420
Mennessis;12627
Menton;1838470
Menton Garavan;253670
Mérignac Arlac;88408
Mervans;11555
Metzervisse;3220
Meudon Val Fleury;2389874
Mitry - Claye;2580330
Modane;216671
Moissac;124171
Molsheim;1655209
Monaco-Monte-Carlo;6560913
Montargis;1531226
Montataire;58123
Montauban Ville Bourbon;1383328
Montaudran;67312
Montbazon;9855
Mont-Dauphin - Guillestre;79124
Mont-de-Marsan;440531
Montérolier - Buchy;28164
Montfavet;27675
Montferrand - Thoraise;4199
Montfort-le-Gesnois;16743
Montmédy;4704
Montpon-Ménestérol;170416
Montréjeau - Gourdan-Polignan;223810
Montreuil;2010237
Montreuil-Bellay;9781
Montrichard;107575
Montroc le Planet;5222
Montry - Condé;42061
Montsoult - Maffliers;1480901
Montsûrs;25367
Morez;37290
Morgny-la-Pommeraye;28457
Morhange;106556
Morlaix;739465
Morre;5988
Mortcerf;127841
Mouans-Sartoux;176431
Moulis - Listrac;35916
Moult - Argences;61050
Muizon;116235
Mulhouse Zu Rhein;0
Mundolsheim;67611
Murat;13720
Mutzig;244603
Narbonne;2134281
Nemours - Saint-Pierre;1245506
Neuville-sur-Sarthe;11720
Nice;9397550
Nœux-les-Mines;81665
Nogent - Le Perreux;3019593
Nogent-l'Artaud - Charly;450012
Notre-Dame de Briançon;9145
Nouvion-sur-Meuse;73643
Nurieux-Volognat;12645
Olette - Canaveilles;2807
Origny-en-Thiérache;7732
Ormoy-Villers;36319
Ors;288
Ozoir-la-Ferrière;1757433
Pagny-sur-Meuse;6897
Paimpol;79438
Pamiers;358918
Parempuyre;57109
Paris Gare du Nord;211698470
Paris Montparnasse;56862435
Parthenay;3896
Pas des Lanciers;115423
Peltre;26353
Péreire - Levallois;3719484
Pérenchies;74415
Phalempin;238185
Plénée-Jugon;13750
Pleyber-Christ;6326
Plounérin;1168
Plouvara - Plerneuf;645
Poissy;11163637
Poitiers;3463640
Poliénas;37566
Poligny;117389
Pons;41789
Pont de l'Alma;3411547
Pont-d'Ain;31244
Pont-de-Buis;35454
Pont-du-Château;65781
Ponthierry - Pringy;408987
Pont-Melvez;6315
Pontrieux Halte;9334
Port Boulet;161897
Port-Brillet;40510
Porte de Clichy;3107862
Port-la-Nouvelle;124777
Port-Vendres;43409
Provins;564456
Puteaux;3900194
Quesnoy-sur-Deûle;35
Questembert;273077
Quiberon;121766
Quincieux;91158
Raedersheim;52212
Rassuen;6380
Reichshoffen;223685
Reims;4309354
Rémilly;252235
Remiremont;319312
Remoulins;762
Remy;7711
Renescure;16953
Rennes;13921836
Retiers;65312
Revin;199519
